Submission ID,Respondent ID,Submitted at,Enter your age,Enter your Gender,Program of Study,Semester,Program/Course,Program Other Field,Prior Meditation Experience:,Frequency of Meditation:,Average Duration of each meditation session:,Type of Meditation practiced:,Would you do meditation voluntarily? By yourself ,PRE1. I feel stressed about academic deadlines and exams.,PRE2. I struggle to concentrate on studies due to stress.,PRE3. Meditation does not help reduce my stress.,PRE4. I often feel anxious before tests or assignments.,PRE5. I can manage multiple academic tasks without feeling overwhelmed.,PRE6. Stress negatively affects my academic performance.,PRE7. I feel calm and focused during study sessions.,POST1. I feel stressed about academic deadlines and exams.,POST2. I struggle to concentrate on studies due to stress.,POST3. Meditation does not help reduce my stress.,POST4. I often feel anxious before tests or assignments.,POST5. I can manage multiple academic tasks without feeling overwhelmed.,POST6. Stress negatively affects my academic performance.,POST7. I feel calm and focused during study sessions.,1. How did meditation influence your stress levels during academic tasks?,"2. Which meditation practices were most effective for you, and why?","3. Did meditation help improve focus, time management, or emotional stability? Please explain.",Consent Checkbox,Consent Checkbox (Yes),MISC1. Did meditation just work for you now?,Relaxing Recommendations,Relaxing Recommendations (Check me for relaxing recommendations ),"MISC2. How frequently do you experience physical symptoms of stress (e.g., headaches, muscle tension) related to academic work?","Describe your problem: (And don't worry, this is full private. We won't say anything, nor will we show any of the teachers)",MISC3. Do you use meditation to cope with exam/academic stress?,Do you do anything else than just meditation? ,What do you actually do to reduce stress during exam time?,So... what do you do to relax during exam time?,MISC4. Will you recommend meditation to your classmates or other students for stress relief?,MISC5. Do you have any other thoughts about meditation and college stress?,"MISC6. How did our form feel compared to the others? Good, not good, etc? Can you please rate it? where 0 is worst, and 10 is best.",Form Comparison: Unique or not.,"Form Comparison: Unique or not. (Yes, definitely unique. Want to see more like this. )","Form Comparison: Unique or not. (Unique, but I don't think I want to see more like this. I want the standard ones. )","Form Comparison: Unique or not. (I don't know, dude. It looks the same to me.)"
jakklv6,gDDdQ4N,2025-09-24 5:07:49,23,Male,Postgraduate (PG),1,MCA,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,4,3,3,3,3,5,5,3,3,4,2,3,4,3,,,,Yes,TRUE,0,Check me for relaxing recommendations ,TRUE,"Headaches., Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,"Music, Hobbies, Games",,,Yes,,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
obkkA0V,ODDGgOk,2025-09-24 5:30:17,21,Male,Postgraduate (PG),1,MCA,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Mindfullness/Awareness,No,4,4,2,4,5,3,4,4,4,3,4,4,4,4,,,,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,Headaches.,,No,,Hang out with friends,,Maybe?,,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
QKOQQKY,EkkbvGr,2025-09-26 9:36:49,21,Male,Postgraduate (PG),1,MCA,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Mindfullness/Awareness,Yes,2,3,2,2,2,3,2,2,2,2,2,3,4,4,,,,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,"Music, Games, Hobbies, Just roam around, Hang out with friends",,,Yes,,9,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
rjv62AN,lbbZEqo,2025-09-29 14:28:06,18,Female,Undergraduate (UG),3,BCA,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,4,5,5,5,3,3,2,3,3,5,3,3,3,3,I've never tried meditation for stress relief ,Maybe calm music meditation ,It does improve emotional stability ,Yes,TRUE,3,,FALSE,Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work),,No,,Just roam around,,Maybe?,Meditation does help people to reduce stress and feel refreshed. But we all just gotta spend a little time for it . ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
aQv6ZaW,LZZy2Gj,2025-09-29 14:29:17,23,Female,Undergraduate (UG),6,BCA,,Extensive (daily practice),Daily,15-30 mins,Breath-based (Pranayama),Yes,4,3,1,3,3,2,4,3,4,2,3,4,2,4,"It relax my body, and stay focused",Pranayama ,"Yes, it helps to stay focused",Yes,TRUE,5,,FALSE,Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work),,,,,,Yes,No,7,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
q4vdzXO,aQQoWzX,2025-09-29 14:49:01,18,Female,Undergraduate (UG),1,BCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),No,1,3,3,2,3,3,4,2,3,3,3,3,3,3,Focus like for a solid 30 seconds ,Breathe in breathe out,"Personally know 
Because I Have no idea ",Yes,TRUE,1,,,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,No,,Stay alone,,Maybe?,I guess we have to have some separate sessions in college...like it's not spoken much....our age people neglect a lot ...and that's what makes us feel it's boring ,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
aQv6lWX,A775ZJ0,2025-09-29 14:53:37,21,Male,Postgraduate (PG),1,MBA,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Breath-based (Pranayama),Yes,5,3,4,4,4,2,4,3,3,5,3,5,4,4,Simply ,Don't know ,,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,Games,,,Maybe?,Zone out,10,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
EkMXEgq,A775VQk,2025-09-29 15:07:19,19,Female,Undergraduate (UG),3,INTMCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,4,3,2,3,4,3,3,3,3,2,3,3,3,2,Reduces stress ,Mindfulness and focused breathing ,Not always ,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,Just roam around,,,Yes,,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
5BMz0VM,2EEyEjb,2025-09-29 15:21:45,20,Male,Undergraduate (UG),5,BCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Nowhere ,Sleeping,Yes,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,Dizziness?,,No,,Hang out with friends,,Maybe?,Nothing,8,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
b5vLRAg,xXXE6RJ,2025-09-30 8:01:47,18,Female,Undergraduate (UG),3,INTMCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mantra-based,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Peacefull,Calm tension free meditation ,Yes,Yes,TRUE,4,,,"Muscle tension, Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,No,,Music,,No,,8,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
Xxz71vO,pbblNOJ,2025-10-03 4:47:19,19,Male,Undergraduate (UG),1,MSc,,Rare (less than once a week),1-2 days/week,More than 60 mins,Breath-based (Pranayama),Maybe?,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Your choice,your choice,Your choice,Yes,TRUE,3,,,Headaches.,,Yes,Sports,,,Maybe?,Yes,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
Xxz78DO,Gxx2VQO,2025-10-03 4:51:37,18,Female,Undergraduate (UG),1,BSc,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,2,2,1,3,4,3,5,3,2,1,3,3,2,4,By keeping my mind clam,Breathing and breathing out because it keeps my mind clam and focus ,"Yes,by doing meditation it will control our body mind",Yes,TRUE,5,,,"No symptoms, bro! All fine. ",,Yes,Music,,,Yes,No ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
LZkjaGO,aQQ81z2,2025-10-03 4:52:00,17,Female,Undergraduate (UG),1,BSc,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Maybe?,3,3,2,5,3,3,3,4,3,2,3,4,3,3,Good ,Mindfulness ,"Yes,it helps reduce stress and improve mental focus’s ",Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Dizziness?,,No,,Just roam around,,Yes,Nope,5,"I don't know, dude. It looks the same to me.",FALSE,FALSE,TRUE
eqvG0EE,VLLkaN6,2025-10-03 4:52:10,18,Female,Undergraduate (UG),1,BSc,,Rare (less than once a week),0 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,5,4,4,4,2,4,3,5,4,3,4,2,4,3,It helps me relax,Breathing meditation (pranayama),Meditation helped in relaxing and claming the mind and it helped in other aspect such as reducing stress and anxiety,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), Stress eating? We honestly don't know if this is possible, but some people have said it's true?, Headaches., Dizziness?, Feel constantly tired.",,No,,"Music, Games",,Maybe?,Well there's a lot of stress due to academics but it kinda helps,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
81MY6Po,kddV4gr,2025-10-03 4:52:40,17,Male,Undergraduate (UG),1,BSc,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,1,1,2,1,4,1,3,1,1,2,1,2,1,4,Meditation really calmed me down and helped me handle academic stress with a clearer mind.,"Honestly, mindful breathing helped me the most","Yeah, meditation honestly helped me stay focused—my mind didn’t wander as much and it helped me to be sturdy.",Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"Feel constantly tired., Headaches.",,No,,"Music, Games, Hobbies, Just roam around, Hang out with friends",,Maybe?,Meditation felt like a little escape from the chaos of college life but most of all it helped me to sleep for a bit during the class hours,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
0QaYZJQ,vGGQagg,2025-10-03 4:52:40,18,Male,Undergraduate (UG),1,BSc,,Occasional (1–3 times/week),1-2 days/week,15-30 mins,Mindfullness/Awareness,No,2,3,2,4,3,4,2,2,2,1,2,4,2,4,It makes my mind clear and focused,"The breathing based, since it has a sense of rhythm it’s easier to concentrate ","It sure helps a bit, but not majorly",Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Headaches.,,No,,"Games, Music",,Maybe?,Well if it’s a bout stress meditation may not be everyone’s cup of tea but it is one of the prominent methods so yea ,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
5BMYeGb,LZZQjVy,2025-10-03 4:52:40,19,Male,Undergraduate (UG),1,BSc,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,4,5,1,5,1,5,5,1,1,1,1,2,2,2,It reduced my stress level ,Pranayama ,Yes! It really did work I'm feeling more bold during the seminar presentation and etc,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,Music,,,Yes,No,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
kdv4JRd,Gxx2VgL,2025-10-03 4:52:49,19,Male,Undergraduate (UG),1,BSc,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Yes,1,3,1,3,2,2,4,3,3,1,2,5,3,2,It helps to concentrate ,,Yes ,Yes,TRUE,5,,FALSE,Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work),,Yes,Hang out with friends,,,Yes,I don't have ,1,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
pbvNJRP,yPPWbRX,2025-10-03 4:53:31,18,Female,Undergraduate (UG),1,BSc,,Occasional (1–3 times/week),3-4 days/week,15-30 mins,Breath-based (Pranayama),No,3,3,2,3,3,3,4,4,4,4,3,3,4,2,By doing meditation it helps us improve memory power and reduces stress,Pranayama is the most effective for me because it reduces stress ,"Yes it helps improve focus,time, management,or emotional stability ",Yes,TRUE,2,,FALSE,Headaches.,,Yes,Games,,,Yes,No,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
0QaYZ1A,zxxaAoM,2025-10-03 4:53:33,18,Female,Undergraduate (UG),1,BSc,,Occasional (1–3 times/week),3-4 days/week,15-30 mins,Mindfullness/Awareness,Yes,3,1,1,3,3,2,4,4,4,1,3,3,1,4,By doing meditation our mind become stressless then we concentrate on studies ,Pranayama it relax me more,"Yes, it's helps at every time whenever I stress",Yes,TRUE,3,,FALSE,Headaches.,,Yes,Just roam around,,,Maybe?,Nothing,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
7RMYajR,1AA1YYp,2025-10-03 4:54:36,18,Female,Undergraduate (UG),1,BSc,,Occasional (1–3 times/week),1-2 days/week,15-30 mins,Breath-based (Pranayama),Yes,3,4,2,3,2,4,4,4,4,2,4,4,4,4,Makes mind calm and stresless ,Pranayama because it would only focusing on the breathing part ,Yes because it would decrease stree and makes me to manage and improve to focus,Yes,TRUE,3,,,"Feel constantly tired., Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,No,,"Hang out with friends, Music",,Maybe?,No other thoughts ,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
5BMYeWb,J99NrNY,2025-10-03 4:57:34,18,Female,Undergraduate (UG),1,BSc,,Occasional (1–3 times/week),3-4 days/week,15-30 mins,Mindfullness/Awareness,Yes,4,4,5,4,3,3,4,3,2,1,3,3,4,3,"By doing meditation, It helped me to study for longer hours than usual with full concentration than before which eventually reduce my stress.","Mindfulness, pranayama. ","Yes meditation did help to improve focus, time management and emotional stability.   As I started to include meditation as a part of my routine I started feeling more grounded. Before I was anxious and would jump into actions but now I feel more composed and stable with the help of meditation.",Yes,TRUE,3,,,"Stress eating? We honestly don't know if this is possible, but some people have said it's true?, Headaches., Feel constantly tired.",,Yes,"Music, Hobbies, Hang out with friends",,,Maybe?,Yeah mediation Is a good way to cope up with stress but I think there can be more ways to cope up with stress.,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
QKkqOOl,RGG7eJd,2025-10-03 5:02:20,18,Male,Undergraduate (UG),1,BSc,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,4,4,3,5,3,5,3,4,4,3,4,3,5,3,,,,Yes,TRUE,0,,,,,Yes,Music,,,Yes, ,1,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
Gx5VO6L,Ekk4y14,2025-10-03 6:28:08,19,Female,Undergraduate (UG),3,B. Com,,Rare (less than once a week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Yes,5,5,1,3,3,5,3,5,5,1,3,3,5,3,provides patience and calmness,awareness ,yes,Yes,TRUE,5,,FALSE,Feel constantly tired.,,No, ,Music,,Yes,no,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
